Age Group,Which country do you currently reside in?,Are you currently a student or are you employed? (cleaned),Study field groups (cleaned),What stage of studying are you in?,Field of work (cleaned),How many years of experience do you have?,How big is your company/team (in persons)?,How important is it for you to have a good GUI experience?,How familiar are you with the term User-centred design (UCD) ?,Have you ever worked on GUI projects or have been involved in the design process?,What aspects are most important to you when designing an app?,At what stage do you include users in the design process?,How often do you involve testers in your design process?,How do you collect user-feedback from testing into the design?,Why do you consider user feedback?,What are some barriers that you encounter implemented in user-centered design?,How do you validate your GUI design?,"Do you think GUI design has improved, gotten worse or stayed the same in the last 3 years (since ChatGPT/AI Introduction)?","In your user-centered design process, do you mainly gather feedback from real users, use AI assistance, or combine both?",How often do users complain about compatibility or accessibility issues in your designs?,"To what extent do you consider accessibility (e.g., users with disabilities) in your design process?"
18–20,Germany,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,8,Have some knowledge and applied it a little,"Yes, as both","Ease of navigation, Performance, Functionality, Consistency across different platforms (e.g. Phone, Web), Scalability","During the research phase, During usability testing, After release",After every major change,"A/B Testing, Usability Testing","To fix errors or bugs, To validate design decisions, To meet user needs","Limited time, Limited budget, Difficulty integrating feedback into the design, Conflicting feedback from testers/users","User feedback, Check analytics",7,Mainly real users,5,5
26–30,Germany,Student,Management / Business,Master,Not Applicable / Skipped,,,7,Know it but not very experienced,"Yes, as both","Ease of navigation, Functionality, Consistency across different platforms (e.g. Phone, Web), User experience","During early design, During usability testing, After release",After every major change,"A/B Testing, Usability Testing","To improve usability, To refine or adjust features, To meet user needs","Limited budget, Conflicting feedback from testers/users","User feedback, Check analytics, Revenue",10,Mainly real users,3,0
18–20,Kosovo,Employed,Not Applicable / Employed,Not Applicable / Employed,Engineering / Tech,0–2 years,10-50,10,Know it but not very experienced,"Yes, as a designer","Ease of navigation, Performance, Functionality, Consistency across different platforms (e.g. Phone, Web), User experience",During the research phase,Only at the end of testing,Surveys,"To improve usability, To improve accessibility","Difficulty integrating feedback into the design, Conflicting feedback from testers/users","User feedback, Expert evaluations",8,Combine both (approx. 50/50),1,6
26–30,Germany,Student,Management / Business,Bachelor,Not Applicable / Skipped,,,10,Know it very well,"Yes, as a designer","Functionality, User experience","During prototyping, After release",After every major change,"Interviews, Usability Testing","To improve usability, To fix errors or bugs, To refine or adjust features, To meet user needs","Limited time, Lack of management support","User feedback, Expert evaluations, Revenue",8,Combine both (approx. 50/50),1,3
18–20,Kosovo,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,8,Know it but not very experienced,"Yes, as both","Ease of navigation, Number of features, Functionality, Aesthetics, Consistency across different platforms (e.g. Phone, Web)","During early design, During prototyping",Only at the end of testing,"Interviews, Surveys, Usability Testing","To improve usability, To validate design decisions, To meet user needs","Limited budget, Conflicting feedback from testers/users, Accessibility challenges","User feedback, Check analytics",5,Combine both (approx. 50/50),5,5
18–20,Kosovo,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,7,Know it but not very experienced,"Yes, as both","Ease of navigation, Functionality","During prototyping, During usability testing",Only at the end of testing,Usability Testing,"To improve usability, To refine or adjust features, To meet user needs","Limited time, Lack of management support","User feedback, Expert evaluations",6,Combine both (approx. 50/50),4,7
21–25,Germany,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,10,Have some knowledge and applied it a little,"Yes, as both","Ease of navigation, Performance, Functionality, Accessibility (for users with disabilities), Consistency across different platforms (e.g. Phone, Web), User experience","During prototyping, During usability testing",After every major change,"A/B Testing, Interviews, Surveys, Usability Testing, Tracking Tools","To improve usability, To meet user needs","Limited time, Limited budget, Difficulty recruiting users","User feedback, Stakeholder reviews, Check analytics",8,Combine both (approx. 50/50),3,10
21–25,Germany,Student,Computer Science / Informatics,Master,Not Applicable / Skipped,,,8,Know it but not very experienced,"Yes, as both","Ease of navigation, Performance, Functionality, Scalability, User experience","During prototyping, During usability testing, After release",Only at the end of testing,"Interviews, Surveys, Tracking Tools","To improve usability, To fix errors or bugs, To refine or adjust features","Limited time, Limited budget, Lack of expertise or experience, Conflicting feedback from testers/users","User feedback, Expert evaluations, Stakeholder reviews",6,Mainly real users,3,4
21–25,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,10,Have some knowledge and applied it a little,"Yes, as both","Ease of navigation, Performance, Scalability, User experience",During early design,After every major change,A/B Testing,"To validate design decisions, To meet user needs",Difficulty recruiting users,"User feedback, Stakeholder reviews",9,Combine both (approx. 50/50),4,0
18–20,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,9,"Heard of it, but don’t know what it means","Yes, as both","Ease of navigation, Functionality, Aesthetics, User experience",During the research phase,After every major change,Usability Testing,"To improve usability, To fix errors or bugs, To refine or adjust features, To validate design decisions, To meet user needs","Limited time, Limited budget, Lack of expertise or experience",User feedback,6,Mainly real users,1,0
21–25,Germany,Student,Information / Engineering,Master,Not Applicable / Skipped,,,9,Never heard of it,"Yes, as both","Ease of navigation, Performance, Functionality, Aesthetics, User experience","During early design, During usability testing, After release",Only when absolutely necessary,"Interviews, Surveys, Usability Testing","To improve usability, To fix errors or bugs, To refine or adjust features, To validate design decisions, To meet user needs","Limited time, Limited budget, Lack of expertise or experience, Lack of management support, Conflicting feedback from testers/users, Accessibility challenges","User feedback, Stakeholder reviews, Revenue",5,Combine both (approx. 50/50),7,3
21–25,Germany,Student,Marketing / Other,Bachelor,Not Applicable / Skipped,,,10,Have some knowledge and applied it a little,"Yes, as a designer","Ease of navigation, Performance, Functionality, Consistency across different platforms (e.g. Phone, Web), User experience","During usability testing, After release",Only at the end of testing,"Surveys, Usability Testing","To improve usability, To fix errors or bugs, To refine or adjust features, To meet user needs","Lack of expertise or experience, Difficulty recruiting users, Conflicting feedback from testers/users","User feedback, Expert evaluations, Check analytics",10,Combine both (approx. 50/50),3,1
18–20,Germany,Employed,Not Applicable / Employed,Not Applicable / Employed,Engineering / Tech,0–2 years,1-10,8,Know it but not very experienced,"Yes, as a designer","Ease of navigation, Functionality, Aesthetics, Accessibility (for users with disabilities), User experience","During the research phase, During usability testing",After every major change,"A/B Testing, Usability Testing","To fix errors or bugs, To refine or adjust features, To validate design decisions, To meet user needs","Limited budget, Difficulty recruiting users, Conflicting feedback from testers/users",User feedback,5,Mainly real users,6,5
18–20,Germany,Student,Not Applicable / Employed,Bachelor,Not Applicable / Skipped,,,6,Know it very well,"Yes, as both","Performance, Number of features, Functionality, Aesthetics",After release,After every major change,A/B Testing,To improve usability,Limited time,Check analytics,5,Mainly AI,5,9
21–25,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,7,Know it but not very experienced,"Yes, as a designer","Ease of navigation, Performance, Functionality, Aesthetics, Consistency across different platforms (e.g. Phone, Web), Scalability, User experience","During the research phase, During prototyping, During usability testing, After release",Only at the end of testing,Interviews,"To improve usability, To fix errors or bugs, To refine or adjust features, To validate design decisions, To meet user needs","Limited time, Limited budget, Difficulty recruiting users, Conflicting feedback from testers/users","User feedback, Expert evaluations, Stakeholder reviews",4,Combine both (approx. 50/50),4,2
21–25,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,5,Know it but not very experienced,"Yes, as both","Ease of navigation, Performance, Functionality",During prototyping,Only when absolutely necessary,"Interviews, Usability Testing","To improve usability, To fix errors or bugs, To refine or adjust features, To meet user needs","Difficulty integrating feedback into the design, Conflicting feedback from testers/users","User feedback, Stakeholder reviews",5,Mainly real users,3,3
21–25,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,7,Know it very well,"Yes, as both","Ease of navigation, Number of features, Functionality, Consistency across different platforms (e.g. Phone, Web)","During the research phase, During early design",Only when absolutely necessary,"Interviews, Usability Testing","To improve usability, To refine or adjust features, To validate design decisions","Limited time, Limited budget, Lack of expertise or experience","User feedback, Expert evaluations",6,Mainly real users,8,4
18–20,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,9,Have some knowledge and applied it a little,"Yes, as both","Ease of navigation, Functionality, Aesthetics, Scalability, User experience","During the research phase, During prototyping",Only at the end of testing,"Interviews, Surveys","To improve usability, To fix errors or bugs, To refine or adjust features","Difficulty integrating feedback into the design, Conflicting feedback from testers/users",User feedback,6,Mainly real users,7,3
21–25,India,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,9,Have some knowledge and applied it a little,"Yes, as both","Ease of navigation, Performance, Functionality, Aesthetics, Accessibility (for users with disabilities), Consistency across different platforms (e.g. Phone, Web), Scalability, User experience",During the research phase,After every major change,Surveys,"To improve usability, To fix errors or bugs, To improve accessibility, To refine or adjust features, To validate design decisions, To meet user needs","Limited time, Limited budget, Lack of expertise or experience, Lack of management support, Difficulty recruiting users, Difficulty integrating feedback into the design, Conflicting feedback from testers/users","User feedback, Expert evaluations, Stakeholder reviews",8,Combine both (approx. 50/50),7,7
41+,Germany,Student,Information / Engineering,Master,Not Applicable / Skipped,,,8,Know it very well,"Yes, as a designer","Ease of navigation, Functionality, Accessibility (for users with disabilities), User experience","During the research phase, During early design, During prototyping, During usability testing, After release",After every major change,"A/B Testing, Surveys, Usability Testing","To improve usability, To improve accessibility, To refine or adjust features, To validate design decisions, To meet user needs",Difficulty recruiting users,"User feedback, Check analytics",6,Mainly real users,8,9
21–25,Germany,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,8,Know it very well,"Yes, as both","Ease of navigation, Performance, User experience","During early design, During prototyping",After every major change,"A/B Testing, Interviews, Surveys, Usability Testing, Tracking Tools","To improve usability, To fix errors or bugs, To improve accessibility, To refine or adjust features, To validate design decisions","Limited budget, Lack of management support, Conflicting feedback from testers/users",User feedback,7,Mainly real users,5,5